feature,importance
PREV_HOUR_APPR_PROCESS_START_MEAN,2002.0648745298386
PREV_RATE_DOWN_PAYMENT_MIN,160.6495304107666
PREV_RATE_DOWN_PAYMENT_MAX,643.3672871589661
PREV_RATE_DOWN_PAYMENT_MEAN,766.1338987350464
PREV_DAYS_DECISION_MIN,1961.2969163358212
PREV_DAYS_DECISION_MAX,1485.0797266960144
PREV_DAYS_DECISION_MEAN,2448.779402732849
PREV_CNT_PAYMENT_MEAN,6157.485684394836
PREV_CNT_PAYMENT_SUM,1082.5999655723572
PREV_NAME_CONTRACT_TYPE_Cashloans_MEAN,560.4255409240723
PREV_NAME_CONTRACT_TYPE_Consumerloans_MEAN,621.1635446548462
PREV_NAME_CONTRACT_TYPE_Revolvingloans_MEAN,256.31231021881104
PREV_NAME_CONTRACT_TYPE_XNA_MEAN,0.0
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,1002.8589627742767
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,959.4173789024353
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,408.98066782951355
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,963.4993016719818
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,1001.1980419158936
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,737.6557483673096
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,617.869238615036
PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN,0.0
PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Buildingahouseoranannex_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Businessdevelopment_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Buyingagarage_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Buyingaholidayhomeland_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Buyingahome_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Buyinganewcar_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Buyingausedcar_MEAN,36.25936996936798
PREV_NAME_CASH_LOAN_PURPOSE_Carrepairs_MEAN,65.57775974273682
PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Everydayexpenses_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Furniture_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Gasificationwatersupply_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Hobby_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Journey_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,73.26541113853455
PREV_NAME_CASH_LOAN_PURPOSE_Moneyforathirdperson_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,59.915809631347656
PREV_NAME_CASH_LOAN_PURPOSE_Paymentsonotherloans_MEAN,32.15974998474121
PREV_NAME_CASH_LOAN_PURPOSE_Purchaseofelectronicequipment_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Refusaltonamethegoal_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,129.97695112228394
PREV_NAME_CASH_LOAN_PURPOSE_Urgentneeds_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Weddinggiftholiday_MEAN,0.0
